stock,fair_value_mult,dev_quantile,drop,climb
ABMD,1.0527339456947864,0.750996015936255,0.9802325361565365,1.3820469215629925
ABNB,0.9821089569804831,0.38285714285714284,0.6627006058620378,1.1514422550826866
AMZN,0.9572498059318592,0.05976095617529881,0.8575712737395114,1.0840122644699812
ANET,1.0001092822600615,0.3466135458167331,0.9679158119902489,1.8957456370110168
APPH,0.824505421330581,0.05647840531561462,0.1868620789731206,1.060921225297196
ATVI,0.9833494825599446,0.19322709163346613,0.7959734052279397,1.099973299151372
AXON,1.013082270285307,0.4701195219123506,0.9180384594073537,2.296619610761132
AYX,0.9764384797689503,0.398406374501992,0.4658814403043685,1.0334257895799468
BILI,0.8595314330294082,0.029880478087649404,0.42552921272179256,1.63649781518045
BYND,0.9492996853290673,0.3565737051792829,0.6019646262545871,1.155929889228733
COUR,0.953673884211004,0.33,0.6298275651602909,1.0650145653597232
CPNG,0.9108892914584175,0.16666666666666666,0.6202180464289103,1.0
DDOG,1.0289558865299524,0.4865979381443299,0.9679680314360999,1.8378642485249588
DOCU,0.9800791053066625,0.1852589641434263,0.9270664505672609,1.587477765244687
DUOL,0.9254034452845759,0.05555555555555555,0.8632191697212115,1.0
EDIT,1.0684357445775918,0.8067729083665338,0.6665930652191089,2.2305135481645344
ETSY,1.0487828915330426,0.6553784860557769,0.8147436535310358,1.8315257231901472
FSLY,0.9789299403389914,0.44621513944223107,0.31770550122983493,1.043600179277149
FUV,0.7548779450974011,0.0199203187250996,0.28622099138825624,2.009578580985542
GH,0.9498796254899139,0.18127490039840638,0.5710217373412971,1.126197548646318
GMED,0.9864191071949411,0.2549800796812749,0.9314511786269608,1.594511523463317
INTG,1.005601776500856,0.4860557768924303,0.8728323295804259,1.583916036113445
ISRG,1.0341805586731028,0.6912350597609562,0.9888029364221178,1.6260143725216205
JD,0.9436582127436269,0.043824701195219126,0.595247011290976,1.0229940559053434
LULU,1.005295185063435,0.35856573705179284,0.960037579355716,1.3952092520678618
LUV,0.9481896601592125,0.1254980079681275,0.7388455809319883,1.3018141621732826
MDB,1.0076842948031708,0.4063745019920319,0.8694808995038882,1.787447125763162
MELI,1.0253331144929212,0.4701195219123506,0.9003195368914301,1.822721006542341
MNST,1.0075236608412852,0.4243027888446215,0.979248881134127,1.2634190707762105
MTCH,0.9336732396798001,0.07768924302788845,0.7706965659614393,1.2998237001323445
NVCR,0.865562091084074,0.02390438247011952,0.5870644188351547,1.6559958816343867
OKTA,0.9677816532953636,0.2151394422310757,0.7915895612687607,1.195744444200436
PANW,0.9780142810736294,0.17928286852589642,0.9103656181737297,1.6612866196446612
PINS,0.9014509481988697,0.08366533864541832,0.6041503049746647,1.582721203126191
PTON,0.9471507923845811,0.16041666666666668,0.6455023347077666,1.6263356607675963
QDEL,0.9340435622696597,0.17729083665338646,0.4189451221941217,1.1410589060077212
RDFN,0.922639520727393,0.10956175298804781,0.49249406251569877,1.212283324669901
RGEN,1.085713862881386,0.8884462151394422,1.0,1.8771616254001153
ROKU,0.9031833473802133,0.09760956175298804,0.7324296396392727,2.376666454982856
SE,1.023807131901781,0.37250996015936255,0.9632847261952053,2.2415216418280117
SHOP,0.9625641283390205,0.1892430278884462,0.8827860663699962,1.6660158194016599
TDOC,0.966754582229889,0.20119521912350596,0.4759285279045602,1.056288038459827
TEAM,1.0765985245961411,0.8884462151394422,1.0,2.064069617142129
TREX,1.0622528361699148,0.8187250996015937,0.9871760248126374,1.6356238685536733
TTD,0.9571320935912424,0.17928286852589642,0.7947524579170289,1.8435888407890513
TTWO,0.9873127920245596,0.29282868525896416,0.7544764670331046,1.0483945026616663
TWLO,0.94117061698424,0.14940239043824702,0.7687433768135489,1.536620544367473
TWTR,0.9426240566111708,0.13346613545816732,0.8053587874500534,1.637077839904372
UPST,1.0952198086023175,0.5672514619883041,0.9216563595981893,6.63861567519593
VEEV,0.9941571015353782,0.3247011952191235,0.9405278628173113,1.3298503282154985
ZEN,0.9281257402898311,0.0697211155378486,0.7562025528919848,1.3647058731260056
ZG,0.9574142389199628,0.1852589641434263,0.47966045056370066,1.2144366082037084
ZNGA,0.9885703484771339,0.2968127490039841,0.698686372385852,1.075853399879145
^GSPC,1.0064304366788435,0.29282868525896416,0.993009067874625,1.372190239201884
^IXIC,1.002153736323301,0.23705179282868527,0.987884625332476,1.3838684915443185
^NYA,0.992741161507224,0.14940239043824702,0.9787435476030647,1.3363917514368928
